epoch,train_loss,valid_loss,min_valid_loss,accuracy,precision,recall,f1_score
1,1.6653707212871975,1.7335938109291924,1.7335938109291924,42.77777777777778,40.4351091742396,42.77777777777778,36.786804153340356
2,1.4844081613752578,1.4630967468851142,1.4630967468851142,46.666666666666664,46.0104161071903,46.666666666666664,39.82381861213993
3,1.3919213215510051,1.499726133959161,1.4630967468851142,43.333333333333336,31.16503923191018,43.333333333333336,34.68595890970912
4,1.343596985605028,1.2930091611213155,1.2930091611213155,57.22222222222222,58.796990194848256,57.22222222222222,54.1086509062347
5,1.2717125905884636,1.3685599256513847,1.2930091611213155,54.44444444444444,55.05634587768231,54.44444444444444,47.977415721247965
6,1.254340081744724,1.4332215828407142,1.2930091611213155,48.888888888888886,49.05904090440595,48.888888888888886,42.357647357647366
7,1.2514764097001818,1.3021650661403934,1.2930091611213155,54.44444444444444,62.88523991972268,54.44444444444444,48.75978063177455
8,1.2040670527352226,1.3507653006662925,1.2930091611213155,55.00000000000001,43.26884487641869,55.00000000000001,45.99240959468353
9,1.1637885583771599,1.340077481791377,1.2930091611213155,50.55555555555556,41.074531949531945,50.55555555555556,42.02539384255874
10,1.1520514673656888,1.1766364789671369,1.1766364789671369,55.00000000000001,66.78782505910165,55.00000000000001,49.88263388931216
11,1.153055693043603,1.1951932174877988,1.1766364789671369,59.44444444444444,60.1967408338376,59.44444444444444,54.411711173230216
12,1.1612970630327861,1.1422312653520041,1.1422312653520041,61.66666666666667,69.97419850680721,61.66666666666667,58.85274544357736
13,1.133951058652666,1.007914558839467,1.007914558839467,65.55555555555556,67.95869675783592,65.55555555555556,64.62660804294632
14,1.1342472076416015,1.0169603420524962,1.007914558839467,67.22222222222223,63.907922243298444,67.22222222222223,60.39815497676083
15,1.0466159211264716,1.0173030428381429,1.007914558839467,66.66666666666666,68.56419457735247,66.66666666666666,65.53909688924509
16,1.0670984162224664,0.9322187591654559,0.9322187591654559,66.11111111111111,61.453389055427245,66.11111111111111,61.548157813770096
17,1.0929054392708673,1.0423159786086116,0.9322187591654559,62.22222222222222,61.798087443147885,62.22222222222222,58.838651047362546
18,1.048059848944346,0.9304336022792591,0.9304336022792591,66.11111111111111,62.93698046321936,66.11111111111111,61.178438116444546
19,1.0518243538008796,1.0837125562234886,0.9304336022792591,57.22222222222222,57.55689865689866,57.22222222222222,50.33119907663518
20,1.03352233171463,0.9995804323504368,0.9304336022792591,67.22222222222223,68.25395166774477,67.22222222222223,66.12655874119288
21,1.0448727634218005,0.9253863877409862,0.9253863877409862,71.66666666666667,74.40895061728396,71.66666666666667,69.82865533484521
22,0.9755607061915927,0.8594359579806526,0.8594359579806526,71.66666666666667,74.37880825561986,71.66666666666667,70.27796178700254
23,0.9560662123892042,0.9421140771255725,0.8594359579806526,72.22222222222221,73.27226143421795,72.22222222222221,72.31104933102172
24,0.9735747072431776,0.9779234943911433,0.8594359579806526,63.33333333333333,67.23652389277389,63.33333333333333,60.17377660841481
25,0.931769131289588,0.9212848758531942,0.8594359579806526,67.22222222222223,76.79253717297195,67.22222222222223,62.74653260316063
26,0.9269207583533393,0.9351374671484033,0.8594359579806526,66.11111111111111,69.68525592055003,66.11111111111111,65.2466509975059
27,0.9353850430912442,0.9566363329481747,0.8594359579806526,70.0,74.12709620206032,70.0,67.85249988435162
28,0.9453540563583374,0.9951833742981155,0.8594359579806526,66.11111111111111,74.3295394786267,66.11111111111111,61.09081994735735
29,0.923707844151391,0.8115899289440778,0.8115899289440778,72.77777777777777,75.3023205414971,72.77777777777777,71.46786114465704
30,0.8744732750786676,0.9276032029651106,0.8115899289440778,71.11111111111111,72.89461429308565,71.11111111111111,70.97835460876087
31,0.9330025255680084,0.9220416396235426,0.8115899289440778,67.77777777777779,71.25404431680728,67.77777777777779,66.77043001335123
32,0.9529936419592964,0.8756675897166133,0.8115899289440778,70.55555555555556,71.4024682174837,70.55555555555556,69.43873306140163
33,0.8921590195761786,0.8434785168411003,0.8115899289440778,76.66666666666667,79.38832417582418,76.66666666666667,76.3266807326603
34,0.8828945212894016,0.8050651351196898,0.8050651351196898,73.88888888888889,73.47323536403997,73.88888888888889,72.32498670222455
35,0.9080832329061296,1.1240739623809026,0.8050651351196898,65.0,64.3617953413275,65.0,60.05148667349196
36,0.9063772208160824,0.8736749473234846,0.8050651351196898,68.33333333333333,75.89963855588854,68.33333333333333,67.27897746635547
37,0.855968427658081,0.781538252485916,0.781538252485916,75.55555555555556,78.79741200828157,75.55555555555556,74.45160407911885
38,0.8467941416634454,0.8570640575140714,0.781538252485916,72.77777777777777,77.21164306778341,72.77777777777777,68.48126911969116
39,0.8576933105786642,0.9195564293406076,0.781538252485916,67.77777777777779,74.07645903479236,67.77777777777779,65.3686034389087
40,0.7988042652606964,0.7505754135135148,0.7505754135135148,79.44444444444444,80.37974744553692,79.44444444444444,79.02655266873057
41,0.8053709354665545,0.9233671111986042,0.7505754135135148,68.88888888888889,69.77414685514385,68.88888888888889,68.31735783427578
42,0.8293123967117734,0.9942534092348069,0.7505754135135148,67.77777777777779,75.25130616509927,67.77777777777779,65.79419820375703
43,0.8519613974624209,0.8130475484779001,0.7505754135135148,75.0,77.45052287417879,75.0,73.60821592507638
44,0.7906375653213925,0.8303958993405104,0.7505754135135148,68.88888888888889,72.06379263613609,68.88888888888889,68.10530243042977
45,0.8245734784338209,0.7896448616636917,0.7505754135135148,74.44444444444444,74.89620534457492,74.44444444444444,72.65564920957829
46,0.8054420404964023,1.0431286420724872,0.7505754135135148,68.33333333333333,77.4558924965429,68.33333333333333,64.4457407457441
47,0.7730522135893504,0.834384567135324,0.7505754135135148,71.11111111111111,71.8299600804081,71.11111111111111,69.47376528352748
48,0.7889799475669861,0.851528246447237,0.7505754135135148,70.0,77.95344196359729,70.0,69.81317051842899
49,0.7811149014366998,0.9332343576010317,0.7505754135135148,62.77777777777778,70.3378957451099,62.77777777777778,61.7885676210576
50,0.790338569217258,0.8684223436750471,0.7505754135135148,73.88888888888889,78.90108480887059,73.88888888888889,73.07411721825827
51,0.7732281843821208,0.8517847915697428,0.7505754135135148,72.77777777777777,78.27822519670346,72.77777777777777,71.95768389157438
